Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
======= MAP 2 =======;;My maps;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;-1;0;0;-;-;1;0;$30000;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Launch Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;2;1;10;;-1;0;0;-;-;1;0;$30062;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;6;1;10;;-1;0;0;-;rpm;1;0;$3006E;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Torque Limiter (Forces 5700rpm limiter without ABS);;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;$308F0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
MAF Limiter;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;-;1;0;$31D72;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;0.3922;0;$31EFA;Load;;%;6.26;6;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;RPM;;rpm;350;750;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$329B2;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$32AB2;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$32BB2;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Temp Ignition Retard;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;5;8;10;;1;0;0;-;-;0.75;0;$331E6;IAT;;;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Coolant;;;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;-;0.75;-66;$33688;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;$33788;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;$33888;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;$33908;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
